case_id,category,expired,remaining,may_serve_from_cache,must_not_serve_stale,serve_stale_allowed,may_evict_early,ttl_upper_bound,ttl_zero_no_cache,stale_response_ttl,rrset_ttls_differ,rrset_effective_ttl,clamped,derived_effective_ttl,governing_ttl,failure_to_refresh,ok,mismatches
c01_positive_inside_ttl,positive,False,200,True,False,False,True,True,False,,False,300,False,300,300,False,True,
c02_positive_inside_ttl_near_expiry,positive,False,1,True,False,False,True,True,False,,False,300,False,300,300,False,True,
c03_early_evict_before_expiry,implementation_freedom,False,3500,True,False,False,True,True,False,,False,3600,False,3600,3600,False,True,
c04_early_refresh_allowed,implementation_freedom,False,82800,True,False,False,True,True,False,,False,86400,False,86400,86400,False,True,
c05_expired_authority_reachable,expired_ordinary,True,-100,False,True,False,True,True,False,,False,300,False,300,300,False,True,
c06_expired_authority_reachable_nodata,expired_ordinary,True,-60,False,True,False,True,True,False,,False,60,False,60,60,False,True,
c07_stale_8767_authority_unreachable,serve_stale,True,-100,False,False,True,True,True,False,30,False,300,False,300,300,True,True,
c08_stale_8767_servfail_treated_as_failure,serve_stale,True,-200,False,False,True,True,True,False,30,False,300,False,300,300,True,True,
c09_stale_8767_within_max_stale_boundary,serve_stale,True,-79700,False,False,True,True,True,False,30,False,300,False,300,300,True,True,
c10_stale_beyond_max_stale,serve_stale,True,-89700,False,True,False,True,True,False,,False,300,False,300,300,True,True,
c11_expired_no_rd_flag,serve_stale,True,-100,False,True,False,True,True,False,,False,300,False,300,300,True,True,
c12_fresh_no_rd_still_fresh_serve,serve_stale,False,200,True,False,False,True,True,False,,False,300,False,300,300,False,True,
c13_ttl_zero_not_cached,ttl_zero,True,0,False,True,False,True,True,True,,False,0,False,0,0,False,True,
c14_ttl_zero_expired_immediate,ttl_zero,True,-1,False,True,False,True,True,True,,False,0,False,0,0,True,True,
c15_rrset_differing_ttls,rrset,False,100,True,False,False,True,True,False,,True,300,False,500,300,False,True,
c16_rrset_uniform_ttls,rrset,False,200,True,False,False,True,True,False,,False,300,False,300,300,False,True,
c17_rrset_single_rr,rrset,False,30,True,False,False,True,True,False,,False,60,False,60,60,False,True,
c18_negative_nxdomain_soa_minimum_smaller,negative,False,200,True,False,False,True,True,False,,False,,False,300,300,False,True,
c19_negative_nxdomain_soa_ttl_smaller,negative,False,200,True,False,False,True,True,False,,False,,False,300,300,False,True,
c20_negative_nodata,negative,False,250,True,False,False,True,True,False,,False,,False,300,300,False,True,
c21_negative_expired_must_refetch,negative,True,-100,False,True,False,True,True,False,,False,,False,300,300,False,True,
c22_negative_soa_equal,negative,False,500,True,False,False,True,True,False,,False,,False,600,600,False,True,
c23_clamp_large_ttl,clamp,False,604700,True,False,False,True,True,False,,False,604800,True,604800,604800,False,True,
c24_clamp_moderately_large,clamp,False,604700,True,False,False,True,True,False,,False,604800,True,604800,604800,False,True,
c25_no_clamp_small_ttl,clamp,False,200,True,False,False,True,True,False,,False,300,False,300,300,False,True,
c26_stale_disabled_config,serve_stale,True,-100,False,True,False,True,True,False,,False,300,False,300,300,True,True,
c27_stale_wrong_rcode_noerror_refreshes,serve_stale,True,-100,False,True,False,True,True,False,,False,300,False,300,300,False,True,
c28_negative_not_stale_interchangeable,negative,False,200,True,False,False,True,True,False,,False,300,False,300,300,False,True,
c29_cloudflare_memory_is_deployment,deployment,False,200,True,False,False,True,True,False,,False,300,False,300,300,False,True,
c30_exact_ttl_boundary,positive,True,0,False,True,False,True,True,False,,False,300,False,300,300,False,True,
